ID,ZoneID,StateID,LgaID,LocalityID,EnumerationID,HouseID,hhd_member,hhd_member remark,hhd_mem_schling,Main_floorn_material,Main_roofn_material,drinkn_water_sourc,Sanitation_type,hhd_member_own_tv,member_own_stove,member_own_bed,member_own_radio,,
1,1,11,1110,11101,111011,1110111,1,,No,"Wood, tile, plank, concrete or other","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Unprotected well/rain water, or untreated pipe-borne","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",No,No,Yes,No,,
2,1,11,1110,11101,111011,1110112,8,or more,No,"Wood, tile, plank, concrete or other","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Unprotected well/rain water, or untreated pipe-borne","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",No,No,Yes,Yes,,
3,1,11,1110,11101,111011,1110113,6,or 7,No,"Wood, tile, plank, concrete or other","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Unprotected well/rain water, or untreated pipe-borne","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",Yes,No,Yes,Yes,,
4,1,11,1110,11101,111011,1110114,8,or more,Yes,"Wood, tile, plank, concrete or other","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Vendor, truck, protected well, river, lake or pond","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",Yes,No,Yes,Yes,,
5,1,11,1110,11101,111011,1110115,5,,Yes,"Wood, tile, plank, concrete or other","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Vendor, truck, protected well, river, lake or pond","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",Yes,No,Yes,Yes,,
6,1,11,1110,11102,111021,1110211,8,or more,Yes,"Wood, tile, plank, concrete or other","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Treated pipe-borne water, borehole/hand pump or other","Toilet on water, or flush to sewer or septic tank",Yes,Yes,Yes,Yes,,
7,1,11,1110,11102,111021,1110212,8,or more,Yes,"Wood, tile, plank, concrete or other","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Unprotected well/rain water, or untreated pipe-borne","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",Yes,No,Yes,Yes,,
8,1,11,1110,11102,111021,1110213,8,or more,Yes,"Wood, tile, plank, concrete or other","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Unprotected well/rain water, or untreated pipe-borne","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",Yes,No,Yes,Yes,,
9,1,11,1110,11102,111021,1110214,3,,Yes,"Wood, tile, plank, concrete or other","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Treated pipe-borne water, borehole/hand pump or other","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",No,Yes,Yes,Yes,,
10,1,11,1110,11102,111021,1110215,6,or 7,Yes,"Wood, tile, plank, concrete or other","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Vendor, truck, protected well, river, lake or pond","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",No,Yes,Yes,Yes,,
11,1,11,1111,11111,111111,1111111,6,or 7,No,"Earth/mud, or dirt/straw",Mud/mud bricks,"Unprotected well/rain water, or untreated pipe-borne","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",No,No,Yes,No,,
12,1,11,1111,11111,111111,1111112,3,,Yes,"Earth/mud, or dirt/straw","Wood bamboo, corrugated iron sheets, cement/concrete, roofing tiles or other","Unprotected well/rain water, or untreated pipe-borne","Pail/bucket, covered or uncovered pit latrine, ventilated improved pit latrine",No,No,Yes,No,,
