ID,StateID,EnumerationID,HouseID,CassavaPlotInformationID,Fieldcode,Plotcode,adoption
1,11,11211,112111,1,1,1,1
2,11,11211,112112,1,1,1,1
3,11,11211,112113,1,1,1,1
4,11,11211,112113,2,1,2,1
5,11,11211,112113,3,2,1,1
6,11,11211,112114,1,1,1,0
7,11,11211,112115,1,1,1,0
8,11,11211,112115,2,2,1,0
9,11,11221,112211,1,1,1,1
10,11,11221,112211,2,1,2,1
11,11,11221,112211,3,2,1,1
12,11,11221,112211,4,2,2,1
13,11,11221,112212,1,1,1,1
14,11,11221,112213,1,1,1,1
15,11,11221,112214,1,1,1,1
16,11,11221,112214,2,1,1,1
17,11,11221,112215,1,1,1,0
18,11,11221,112215,2,2,1,0
19,11,11311,113111,1,1,1,1
20,11,11311,113112,1,1,1,0
21,11,11311,113112,2,1,2,0
22,11,11311,113113,1,1,1,0
23,11,11311,113113,2,1,2,0
24,11,11311,113114,1,1,1,0
25,11,11311,113115,1,1,1,0
26,11,11321,113211,1,1,1,1
27,11,11321,113211,2,2,1,1
28,11,11321,113212,1,1,1,1
29,11,11321,113213,1,1,1,1
30,11,11321,113214,1,1,1,1
31,11,11321,113215,1,1,1,0
32,11,11331,113311,1,1,1,0
33,11,11331,113312,1,1,1,0
34,11,11331,113312,2,1,2,0
35,11,11331,113313,1,1,1,1
36,11,11331,113314,1,1,1,0
37,11,11331,113314,2,1,2,1
38,11,11331,113314,3,1,3,1
39,11,11331,113314,4,1,4,1
40,11,11331,113315,1,1,1,0
41,11,11411,114111,1,1,1,1
42,11,11411,114112,1,1,1,1
43,11,11411,114112,2,2,1,1
44,11,11411,114113,1,1,1,1
45,11,11411,114114,1,1,1,1
46,11,11411,114115,1,1,1,1
47,11,11421,114211,1,1,1,1
48,11,11421,114211,2,2,1,1
49,11,11421,114212,1,1,1,1
50,11,11421,114212,2,1,2,1
51,11,11421,114213,1,1,1,1
52,11,11421,114213,2,2,1,1
53,11,11421,114214,1,1,1,0
54,11,11421,114214,2,1,2,0
55,11,11421,114214,3,1,3,0
56,11,11421,114215,1,1,1,1
57,11,11431,114311,1,1,1,1
58,11,11431,114312,1,1,1,0
59,11,11431,114313,1,1,1,1
60,11,11431,114313,2,2,1,1
61,11,11431,114313,3,3,1,1
62,11,11431,114314,1,1,1,1
63,11,11431,114314,2,1,2,1
64,11,11431,114315,1,1,1,1
65,11,11441,114411,1,1,1,1
66,11,11441,114411,2,1,2,1
67,11,11441,114411,3,1,3,1
68,11,11441,114412,1,1,1,1
69,11,11441,114412,2,2,1,1
70,11,11441,114413,1,1,1,0
71,11,11441,114414,1,1,1,1
72,11,11441,114415,1,1,1,1
73,11,11441,114415,2,2,1,1
74,11,11441,114415,2,2,2,1
75,11,11611,116111,1,1,1,1
76,11,11611,116112,1,1,1,1
77,11,11611,116113,1,1,1,1
78,11,11611,116114,1,1,1,1
79,11,11611,116115,1,1,1,0
80,11,11611,116115,2,2,1,0
81,11,11631,116311,1,1,1,1
82,11,11631,116312,1,1,1,0
83,11,11631,116313,1,1,1,0
84,11,11631,116314,1,1,1,0
85,11,11631,116315,1,1,1,1
86,11,11711,117111,1,1,1,1
87,11,11711,117112,1,1,1,1
88,11,11711,117113,1,1,1,1
89,11,11711,117113,2,2,1,1
90,11,11711,117114,1,1,1,1
91,11,11711,117114,2,2,1,1
92,11,11711,117115,1,1,1,1
93,11,11712,117121,1,1,1,0
94,11,11712,117121,2,1,2,0
95,11,11712,117122,1,1,1,1
96,11,11712,117122,2,1,2,1
97,11,11712,117123,1,1,1,1
98,11,11712,117123,2,2,1,1
99,11,11712,117123,3,2,2,0
