ID,ZoneID,StateID,LgaID,LocalityID,EnumerationID,HouseID,Household_asset,asset_own, UnitValue_Naira ,Total_Number,Women_portion,Men_portion,portions_error_detection,error_detection_remark
1,1,11,1110,11101,111011,1110111,Radio,No,,,,,,
2,1,11,1110,11101,111011,1110111,CD player,No,,,,,,
3,1,11,1110,11101,111011,1110111,Television,No,,,,,,
4,1,11,1110,11101,111011,1110111,Cell phone,Yes," 1,000.00 ",1,1,0,,
5,1,11,1110,11101,111011,1110111,Stove,No,,,,,,
6,1,11,1110,11101,111011,1110111,Bicycle,No,,,,,,
7,1,11,1110,11101,111011,1110111,Motorbike,No,,,,,,
8,1,11,1110,11101,111011,1110111,Car,No,,,,,,
9,1,11,1110,11101,111011,1110111,Jewellery,No,,,,,,
10,1,11,1110,11101,111011,1110111,Power Generator,No,,,,,,
11,1,11,1110,11101,111011,1110111,Dishes  and  cooking pot,No,,,,,,
12,1,11,1110,11101,111011,1110111,Bed,Yes," 17,000.00 ",2,1,1,,
13,1,11,1110,11101,111011,1110111,Chairs,Yes, 700.00 ,3,3,0,,
14,1,11,1110,11101,111011,1110111,Mattresses,Yes," 12,000.00 ",2,2,0,,
15,1,11,1110,11101,111011,1110111,Tables,Yes," 1,500.00 ",1,1,0,,
16,1,11,1110,11101,111011,1110111,Corrugated iron sheet house,Yes," 28,000.00 ",1,1,0,,
17,1,11,1110,11101,111011,1110111,Others,No,,,,,,
18,1,11,1110,11101,111011,1110112,Radio,Yes," 1,500.00 ",2,0,2,,
19,1,11,1110,11101,111011,1110112,CD player,Yes," 5,000.00 ",1,0,1,,
20,1,11,1110,11101,111011,1110112,Television,Yes," 12,000.00 ",1,0,1,,
21,1,11,1110,11101,111011,1110112,Cell phone,Yes," 10,000.00 ",6,2,4,,
22,1,11,1110,11101,111011,1110112,Stove,No,,,,,,
23,1,11,1110,11101,111011,1110112,Bicycle,Yes," 10,000.00 ",2,2,0,,
24,1,11,1110,11101,111011,1110112,Motorbike,No,,,,,,
25,1,11,1110,11101,111011,1110112,Car,Yes," 300,000.00 ",1,0,1,,
26,1,11,1110,11101,111011,1110112,Jewellery,No,,,,,,
27,1,11,1110,11101,111011,1110112,Power Generator,No,,,,,,
28,1,11,1110,11101,111011,1110112,Dishes  and  cooking pot,Yes," 1,000.00 ",23,13,10,,
29,1,11,1110,11101,111011,1110112,Bed,Yes," 10,000.00 ",4,1,3,,
30,1,11,1110,11101,111011,1110112,Chairs,Yes," 4,000.00 ",4,2,2,,
31,1,11,1110,11101,111011,1110112,Mattresses,Yes," 12,000.00 ",4,2,2,,
32,1,11,1110,11101,111011,1110112,Tables,No,,,,,,
33,1,11,1110,11101,111011,1110112,Corrugated iron sheet house,Yes," 500,000.00 ",6,0,6,,
34,1,11,1110,11101,111011,1110112,Others,No,,,,,,
35,1,11,1110,11101,111011,1110113,Radio,Yes," 1,000.00 ",1,0,1,,
36,1,11,1110,11101,111011,1110113,CD player,Yes," 4,500.00 ",1,0,1,,
37,1,11,1110,11101,111011,1110113,Television,Yes," 10,000.00 ",1,0,1,,
38,1,11,1110,11101,111011,1110113,Cell phone,Yes," 5,000.00 ",1,0,1,,
39,1,11,1110,11101,111011,1110113,Stove,No,,,,,,
40,1,11,1110,11101,111011,1110113,Bicycle,No,,,,,,
41,1,11,1110,11101,111011,1110113,Motorbike,Yes," 70,000.00 ",1,0,1,,
42,1,11,1110,11101,111011,1110113,Car,No,,,,,,
43,1,11,1110,11101,111011,1110113,Jewellery,No,,,,,,
44,1,11,1110,11101,111011,1110113,Power Generator,Yes," 12,000.00 ",1,0,1,,
45,1,11,1110,11101,111011,1110113,Dishes  and  cooking pot,Yes," 2,500.00 ",3,1,2,,
46,1,11,1110,11101,111011,1110113,Bed,Yes," 10,000.00 ",2,1,1,,
47,1,11,1110,11101,111011,1110113,Chairs,Yes," 1,500.00 ",5,0,5,,
48,1,11,1110,11101,111011,1110113,Mattresses,Yes," 15,000.00 ",3,0,3,,
49,1,11,1110,11101,111011,1110113,Tables,Yes," 1,500.00 ",1,0,1,,
