ID,ZoneID,StateID,LgaID,LocalityID,EnumerationID,HouseID,Livestock_owned,livestock_ownership,Total_Number_of_livestk_owned,Number_of_male_livestk_owned,Number_of_female_livestk_owned,mistakes_detectes_in_number_of_livestocks,Mistakes_detection_remark
1,1,11,1110,11101,111011,1110111,Cattle,No,,,,,
2,1,11,1110,11101,111011,1110111,Donkey,No,,,,,
3,1,11,1110,11101,111011,1110111,Horses,No,,,,,
4,1,11,1110,11101,111011,1110111,Goats,Yes,2,0,2,,
5,1,11,1110,11101,111011,1110111,Sheep(ram),No,,,,,
6,1,11,1110,11101,111011,1110111,Rabbits,No,,,,,
7,1,11,1110,11101,111011,1110111,"Poultry(Chicken, Guinea)",Yes,8,0,8,,
8,1,11,1110,11101,111011,1110111,Doves/pigeons,No,,,,,
9,1,11,1110,11101,111011,1110111,Pigs,No,,,,,
10,1,11,1110,11101,111011,1110111,Others specify,No,,,,,
11,1,11,1110,11101,111011,1110112,Cattle,No,,,,,
12,1,11,1110,11101,111011,1110112,Donkey,No,,,,,
13,1,11,1110,11101,111011,1110112,Horses,No,,,,,
14,1,11,1110,11101,111011,1110112,Goats,Yes,10,10,0,,
15,1,11,1110,11101,111011,1110112,Sheep(ram),No,,,,,
16,1,11,1110,11101,111011,1110112,Rabbits,No,,,,,
17,1,11,1110,11101,111011,1110112,"Poultry(Chicken, Guinea)",Yes,40,0,40,,
18,1,11,1110,11101,111011,1110112,Doves/pigeons,No,,,,,
19,1,11,1110,11101,111011,1110112,Pigs,No,,,,,
20,1,11,1110,11101,111011,1110112,Others specify,No,,,,,
21,1,11,1110,11101,111011,1110113,Cattle,No,,,,,
22,1,11,1110,11101,111011,1110113,Donkey,No,,,,,
23,1,11,1110,11101,111011,1110113,Horses,No,,,,,
24,1,11,1110,11101,111011,1110113,Goats,No,,,,,
25,1,11,1110,11101,111011,1110113,Sheep(ram),No,,,,,
26,1,11,1110,11101,111011,1110113,Rabbits,No,,,,,
27,1,11,1110,11101,111011,1110113,"Poultry(Chicken, Guinea)",No,,,,,
28,1,11,1110,11101,111011,1110113,Doves/pigeons,No,,,,,
29,1,11,1110,11101,111011,1110113,Pigs,No,,,,,
30,1,11,1110,11101,111011,1110113,Others specify,No,,,,,
31,1,11,1110,11101,111011,1110114,Cattle,No,,,,,
32,1,11,1110,11101,111011,1110114,Donkey,No,,,,,
33,1,11,1110,11101,111011,1110114,Horses,No,,,,,
34,1,11,1110,11101,111011,1110114,Goats,No,,,,,
35,1,11,1110,11101,111011,1110114,Sheep(ram),No,,,,,
36,1,11,1110,11101,111011,1110114,Rabbits,No,,,,,
37,1,11,1110,11101,111011,1110114,"Poultry(Chicken, Guinea)",Yes,8,6,2,,
38,1,11,1110,11101,111011,1110114,Doves/pigeons,No,,,,,
39,1,11,1110,11101,111011,1110114,Pigs,No,,,,,
40,1,11,1110,11101,111011,1110114,Others specify,No,,,,,
41,1,11,1110,11101,111011,1110115,Cattle,No,,,,,
42,1,11,1110,11101,111011,1110115,Donkey,No,,,,,
43,1,11,1110,11101,111011,1110115,Horses,No,,,,,
44,1,11,1110,11101,111011,1110115,Goats,No,,,,,
45,1,11,1110,11101,111011,1110115,Sheep(ram),No,,,,,
46,1,11,1110,11101,111011,1110115,Rabbits,No,,,,,
47,1,11,1110,11101,111011,1110115,"Poultry(Chicken, Guinea)",Yes,30,10,20,,
48,1,11,1110,11101,111011,1110115,Doves/pigeons,No,,,,,
49,1,11,1110,11101,111011,1110115,Pigs,No,,,,,
50,1,11,1110,11101,111011,1110115,Others specify,No,,,,,
51,1,11,1110,11102,111021,1110211,Cattle,No,,,,,
52,1,11,1110,11102,111021,1110211,Donkey,No,,,,,
53,1,11,1110,11102,111021,1110211,Horses,No,,,,,
54,1,11,1110,11102,111021,1110211,Goats,Yes,13,8,5,,
55,1,11,1110,11102,111021,1110211,Sheep(ram),No,,,,,
56,1,11,1110,11102,111021,1110211,Rabbits,No,,,,,
57,1,11,1110,11102,111021,1110211,"Poultry(Chicken, Guinea)",Yes,26,10,16,,
58,1,11,1110,11102,111021,1110211,Doves/pigeons,No,,,,,
59,1,11,1110,11102,111021,1110211,Pigs,No,,,,,
60,1,11,1110,11102,111021,1110211,Others specify,No,,,,,
61,1,11,1110,11102,111021,1110212,Cattle,No,,,,,
62,1,11,1110,11102,111021,1110212,Donkey,No,,,,,
63,1,11,1110,11102,111021,1110212,Horses,No,,,,,
64,1,11,1110,11102,111021,1110212,Goats,Yes,10,8,2,,
65,1,11,1110,11102,111021,1110212,Sheep(ram),No,,,,,
66,1,11,1110,11102,111021,1110212,Rabbits,No,,,,,
67,1,11,1110,11102,111021,1110212,"Poultry(Chicken, Guinea)",Yes,30,20,10,,
68,1,11,1110,11102,111021,1110212,Doves/pigeons,No,,,,,
69,1,11,1110,11102,111021,1110212,Pigs,No,,,,,
70,1,11,1110,11102,111021,1110212,Others specify,No,,,,,
71,1,11,1110,11102,111021,1110213,Cattle,No,,,,,
72,1,11,1110,11102,111021,1110213,Donkey,No,,,,,
73,1,11,1110,11102,111021,1110213,Horses,No,,,,,
74,1,11,1110,11102,111021,1110213,Goats,Yes,10,10,0,,
75,1,11,1110,11102,111021,1110213,Sheep(ram),No,,,,,
76,1,11,1110,11102,111021,1110213,Rabbits,No,,,,,
77,1,11,1110,11102,111021,1110213,"Poultry(Chicken, Guinea)",Yes,25,15,10,,
78,1,11,1110,11102,111021,1110213,Doves/pigeons,No,,,,,
79,1,11,1110,11102,111021,1110213,Pigs,Yes,2,2,0,,
80,1,11,1110,11102,111021,1110213,Others specify,No,,,,,
81,1,11,1110,11102,111021,1110214,Cattle,No,,,,,
82,1,11,1110,11102,111021,1110214,Donkey,No,,,,,
83,1,11,1110,11102,111021,1110214,Horses,No,,,,,
84,1,11,1110,11102,111021,1110214,Goats,Yes,5,5,1,above range,male livestock(s) in addition to the number of female livestock(s) is above the total number of livestocks.
85,1,11,1110,11102,111021,1110214,Sheep(ram),No,,,,,
86,1,11,1110,11102,111021,1110214,Rabbits,No,,,,,
87,1,11,1110,11102,111021,1110214,"Poultry(Chicken, Guinea)",Yes,7,5,2,,
88,1,11,1110,11102,111021,1110214,Doves/pigeons,No,,,,,
89,1,11,1110,11102,111021,1110214,Pigs,No,,,,,
90,1,11,1110,11102,111021,1110214,Others specify,No,,,,,
91,1,11,1110,11102,111021,1110215,Cattle,No,,,,,
