Tab,Column,description_abstract,title,number of columns,data_type,creator,source,source date,source file,identifier,subject,subject.agrovoc,format,language,relation,coverage,coverage.country,rights
HHcomposition_All_Region,,,,20,,,,IITA_CMS_Data_Dimu,12/06/2018,,,cassava,,xlsx,en,,Nigeria,CC-BY 4.0
,ZoneID,Zone ID,,,numeric,,,,,,,,,,,,,
,StateID,StateID,,,numeric,,,,,,,,,,,,,
,LgaID,,,,numeric,,,,,,,,,,,,,
,LocalityID,Locality  ID,,,numeric,,,,,,,,,,,,,
,EnumerationID,Enumeration ID,,,numeric,,,,,,,,,,,,,
,HouseID,Household ID,,,numeric,,,,,,,,,,,,,
,Individual_family_code,Household_composition,,,numeric,,,,,,,,,,,,,
,Name_hhd_member,A01_Name of household member(start with respondent),,,text,,,,,,,,,,,,,
,Sex,A02_Sex,,,text,,,,,,,,,,,,,
,Age,A03_Age(years),,,numeric,,,,,,,,,,,,,
,Age_checked,Hope the  age  of the farmer is between '13 and 150 years?,,,text,,,,,,,,,,,,,
,Marital_status,A04_Marital_status,,,text,,,,,,,,,,,,,
,Marital_status_attribute,Marital status attribute,,,text,,,,,,,,,,,,,
,Edu_years,"describes the years of education,put 0 if no formal education",,,double,,,,,,,,,,,,,
,Relation_hhd,A06_Relation to househead,,,double,,,,,,,,,,,,,
,Occupation_Y_N,A07_1_Main_occupatn,,,boolean,,,,,,,,,,,,,
,Main_occupation,Any secondary occupation?,,,text,,,,,,,,,,,,,
,Secondary_occupation,A07_2_Secondary_occupation,,,text,,,,,,,,,,,,,
,fam_lab_contribution,A08_Percentage of contribution to family labour for farm work,,,numeric,,,,,,,,,,,,,
,Proportion_Check,Did you pick right proportion for your farmer?,,,boolean,,,,,,,,,,,,,
